index,direction_x,label,weight,max_hold_bars,direction_y,ema_distance,atr,rsi,body,volatility_5,hour,session_asia,session_europe,session_us,time
1014,sell,0,1.0,24,sell,0.0001838974574170775,0.0008830424552181591,52.809866214145764,0.0004786105404221732,0.0005311957417351331,16.0,0.0,0.0,1.0,2025-02-03 15:57:00+00:00
1021,buy,1,1.0,23,buy,4.85070377627774e-05,0.0008020074822895185,53.04428993158449,0.0005992217209008181,0.00031914812821409337,16.0,0.0,0.0,1.0,2025-02-03 16:04:00+00:00
1031,sell,0,1.0,21,sell,0.0001642254703196239,0.0006410735512701833,52.07408084058921,0.0002162656593178156,0.0001461006240774704,16.0,0.0,0.0,1.0,2025-02-03 16:14:00+00:00
1035,buy,0,1.0,19,buy,0.0001105931881933381,0.0006025816343867154,45.147435601263155,2.482916646704335e-05,0.0001941791328653637,16.0,0.0,0.0,1.0,2025-02-03 16:18:00+00:00
1047,sell,0,1.0,15,sell,0.00012855071136874866,0.000540483540636052,55.82745432059322,0.0004536360881684975,0.000264230259975022,16.0,0.0,0.0,1.0,2025-02-03 16:30:00+00:00
1052,buy,0,1.0,14,buy,4.7792527373333e-05,0.0005411456090823123,38.34063730961114,0.0004790589153750975,0.00022742543332918087,16.0,0.0,0.0,1.0,2025-02-03 16:35:00+00:00
1057,sell,0,1.0,13,sell,-0.00013474936820964271,0.0005419065753062224,45.61369371081734,0.00032176641602948503,0.0002272489143357523,16.0,0.0,0.0,1.0,2025-02-03 16:40:00+00:00
1060,buy,0,1.0,13,buy,-0.00025150824920026703,0.0005544948354272472,32.69886766428796,0.0006108833124083026,0.0003267836354778839,16.0,0.0,0.0,1.0,2025-02-03 16:43:00+00:00
1064,sell,1,1.0,12,sell,-0.00048472144637377163,0.000580596529628244,41.43043352087815,0.0007457240714403338,0.0005528544262892749,17.0,0.0,0.0,1.0,2025-02-03 16:47:00+00:00
1096,buy,0,1.0,10,buy,1.2302746967319084e-05,0.0004177043679252662,56.97757778823741,9.578289211120813e-05,0.00011739900458134944,17.0,0.0,0.0,1.0,2025-02-03 17:19:00+00:00
1114,sell,0,1.0,9,sell,0.00014994182637277352,0.0003968029725739641,66.77046007597423,0.0005033631392845057,0.00020854938753799818,17.0,0.0,0.0,1.0,2025-02-03 17:37:00+00:00
1120,buy,1,1.0,9,buy,0.00022445078652463108,0.0004662244383303719,40.967380078965945,0.0004436470627902561,0.00038387690596815624,17.0,0.0,0.0,1.0,2025-02-03 17:43:00+00:00
1134,sell,0,1.0,11,sell,0.00016342647267490515,0.0005027229372613487,50.109582371542594,0.00035115784545161437,0.00027302925396468104,18.0,0.0,0.0,1.0,2025-02-03 17:57:00+00:00
1141,buy,0,1.0,12,buy,0.0001453402858063943,0.0005067087214936455,47.601406240282685,0.0003877378353018261,0.00035571113032747487,18.0,0.0,0.0,1.0,2025-02-03 18:04:00+00:00
1155,sell,0,0.5,11,sell,-6.469891518107572e-05,0.0003971100406164643,48.17917055691313,0.00023416835640434816,0.00014275059267389716,18.0,0.0,0.0,1.0,2025-02-03 18:18:00+00:00
1170,buy,0,0.5,9,buy,3.2280744226556245e-06,0.0003598637709826718,54.34464179269518,0.00019861783268928382,0.00023187771496917137,18.0,0.0,0.0,1.0,2025-02-03 18:33:00+00:00
1179,sell,0,1.0,9,sell,9.347879817030905e-05,0.00030380559620053635,57.71498013984666,1.0638203562096111e-05,4.924172623355627e-05,18.0,0.0,0.0,1.0,2025-02-03 18:42:00+00:00
1181,buy,0,0.5,9,buy,0.00010143747690445839,0.000292747720639856,56.71807705710532,0.00017730339270041932,0.00011868250272388075,18.0,0.0,0.0,1.0,2025-02-03 18:44:00+00:00
1225,sell,0,0.5,8,sell,-8.430856920469948e-05,0.00022598418370193044,35.53225531839858,5.0718068542465253e-05,7.668271872000264e-05,19.0,0.0,0.0,1.0,2025-02-03 19:28:00+00:00
1270,buy,0,1.0,9,buy,-0.0002301181650828739,0.0002114032198032168,35.57714419565282,6.0351851293064245e-05,7.22351021718878e-05,20.0,0.0,0.0,1.0,2025-02-03 20:13:00+00:00
1276,sell,0,0.5,9,sell,-0.0002673413030762366,0.00019388615769401891,45.46017654509554,0.00017038708039947373,0.0001250151759542695,20.0,0.0,0.0,1.0,2025-02-03 20:19:00+00:00
1317,buy,0,0.5,11,buy,-0.0001308540206777574,0.00016986873756752902,35.43683927154753,0.00016337054748668135,6.531247899110038e-05,21.0,0.0,0.0,1.0,2025-02-03 21:00:00+00:00
1326,sell,0,0.5,9,sell,-0.00027153538328752666,0.00021600376275367498,37.935325942012746,0.00019540930254873486,0.00017238365702975668,21.0,0.0,0.0,1.0,2025-02-03 21:09:00+00:00
1353,buy,0,1.0,14,buy,-0.0002126873826885945,0.000357893791169915,54.507950460430116,4.973613205649054e-05,0.00018099865814538642,21.0,0.0,0.0,1.0,2025-02-03 21:36:00+00:00
1354,sell,0,1.0,16,sell,-0.00022141852557982334,0.00037051423596353355,43.50977257653286,0.0005296162095260473,0.0003520760588875194,21.0,0.0,0.0,1.0,2025-02-03 21:37:00+00:00
1365,buy,0,1.0,21,buy,-0.00022914388265696324,0.0003532217190953538,37.718088183014245,2.951438524027685e-05,0.00026709930398155187,23.0,0.0,0.0,1.0,2025-02-03 21:48:00+00:00
1367,sell,0,0.5,23,sell,-0.00027540180280380633,0.00036682690402006253,35.12170097896639,0.00039122962760626827,0.00027742254253804275,23.0,0.0,0.0,1.0,2025-02-03 21:50:00+00:00
1375,buy,0,1.0,21,buy,-0.00025864466913032145,0.0003809968989099947,46.78646621255973,8.17683289935856e-06,0.0001575141363975836,23.0,0.0,0.0,1.0,2025-02-03 21:58:00+00:00
1377,sell,0,1.0,23,sell,-0.00024913404329643434,0.0003653881420273284,48.57054472427582,0.0001741934222431621,0.0001810165412268203,23.0,0.0,0.0,1.0,2025-02-03 23:01:00+00:00
1393,buy,0,0.5,20,buy,-0.00010625445692147193,0.00022352414239187288,46.41306938547486,4.621469641537472e-06,4.600431154144311e-05,23.0,0.0,0.0,1.0,2025-02-03 23:18:00+00:00
1404,sell,0,0.5,14,sell,-5.7997952312166686e-05,0.0002413684476416753,42.50012635240374,0.00030576603636186503,0.00022931469217274614,23.0,0.0,0.0,1.0,2025-02-03 23:29:00+00:00
1408,buy,0,1.0,14,buy,-8.581347355588836e-05,0.0002927020631869723,45.314037148918096,3.910863596887827e-05,0.0002354145511757353,23.0,0.0,0.0,1.0,2025-02-03 23:33:00+00:00
1412,sell,0,1.0,15,sell,-6.45672297452875e-05,0.0003067017673391408,53.722988457462506,6.0423927163666655e-06,3.3517386173631346e-05,23.0,0.0,0.0,1.0,2025-02-03 23:37:00+00:00
1413,buy,0,1.0,16,buy,-4.410694381831772e-05,0.0003052978509422367,59.198572613002064,0.00019296251836346465,6.617484898094396e-05,23.0,0.0,0.0,1.0,2025-02-03 23:38:00+00:00
1417,sell,0,1.0,15,sell,9.113887399599357e-06,0.0002942838979591769,54.94131274071543,2.1323666604453246e-05,0.00012199499558026466,23.0,0.0,0.0,1.0,2025-02-03 23:42:00+00:00
1425,buy,0,0.5,19,buy,3.559459487915589e-05,0.00023416519799494319,53.42563960848299,0.0,4.052297480429044e-05,0.0,1.0,0.0,0.0,2025-02-03 23:50:00+00:00
1442,sell,0,0.5,12,sell,-5.697154538549506e-05,0.0002017313725325048,50.48832312433096,6.398350647382853e-05,0.00015178759278933069,0.0,1.0,0.0,0.0,2025-02-04 00:07:00+00:00
1458,buy,0,0.5,11,buy,0.00019570794557659274,0.0002217542204529827,71.0286313460991,7.813235265401561e-05,9.120501815477466e-05,0.0,1.0,0.0,0.0,2025-02-04 00:23:00+00:00
1501,sell,0,1.0,14,sell,0.0002251364784032276,0.0002232705233844773,64.6867418752473,3.1944289159757124e-05,9.645269222945128e-05,1.0,1.0,0.0,0.0,2025-02-04 01:06:00+00:00
1503,buy,1,1.0,14,buy,0.00030029006893319025,0.00026009704640751665,80.43473620060759,0.0004752185916862087,0.0002286333203568845,1.0,1.0,0.0,0.0,2025-02-04 01:08:00+00:00
1563,sell,1,1.0,18,sell,5.894356361125536e-05,0.00026956143440393825,29.19622099873129,0.0003936512214712528,0.00019490092934064867,2.0,1.0,0.0,0.0,2025-02-04 02:08:00+00:00
1602,buy,1,1.0,20,buy,0.00010437703552347834,0.00029938059879230114,67.66393220052136,0.00039687390926112034,0.00017697141571972522,3.0,1.0,0.0,0.0,2025-02-04 02:47:00+00:00
1636,sell,0,0.5,14,sell,0.00014092505770496794,0.0002322400619654133,50.294476097720334,0.00019949343549668615,0.00022261450981605745,3.0,1.0,0.0,0.0,2025-02-04 03:21:00+00:00
1670,buy,0,0.5,14,buy,-9.752528808273112e-05,0.00020906872030325573,47.22282240626971,4.2557492512502453e-05,4.881718128194903e-05,4.0,1.0,0.0,0.0,2025-02-04 03:55:00+00:00
1683,sell,0,0.5,12,sell,-0.0001785910459163642,0.00018910484028448278,29.590922553911113,5.570817150174072e-05,9.052677743182288e-05,4.0,1.0,0.0,0.0,2025-02-04 04:08:00+00:00
1701,buy,0,0.5,11,buy,2.9401991022603995e-05,0.000222652618171464,40.01288966808231,0.0003689323488042383,0.000279614730285215,4.0,1.0,0.0,0.0,2025-02-04 04:26:00+00:00
1715,sell,0,0.5,13,sell,-0.00011598010229893954,0.00021032505283746477,40.80287332761603,0.00019620100917563772,0.0001558642634106114,4.0,1.0,0.0,0.0,2025-02-04 04:40:00+00:00
1733,buy,0,1.0,11,buy,-0.00044961041932768225,0.0004231287166236861,36.2382523497899,0.00028882995447290376,0.0006069593189067397,5.0,1.0,0.0,0.0,2025-02-04 04:58:00+00:00
1734,sell,1,1.0,12,sell,-0.00047543952662735194,0.00041607606362100964,36.17345440897346,4.6184650495919815e-05,0.000490445109539394,5.0,1.0,0.0,0.0,2025-02-04 04:59:00+00:00
1765,buy,0,1.0,20,buy,-0.0002697088288335752,0.00030886917536839485,43.437346020289674,0.00031255938184282495,0.00013087170677694975,5.0,1.0,0.0,0.0,2025-02-04 05:30:00+00:00
1772,sell,0,0.5,18,sell,-0.0002790068574763483,0.00026422572671552,46.81058387688774,0.00013141701282038513,6.480406059759268e-05,5.0,1.0,0.0,0.0,2025-02-04 05:37:00+00:00
1840,buy,0,0.5,14,buy,-6.431306897104157e-05,0.0002433318539746749,53.84548455530909,0.000170637241222409,0.0001289648455136324,6.0,1.0,0.0,0.0,2025-02-04 06:45:00+00:00
1861,sell,0,1.0,16,sell,5.578875063560939e-05,0.00028568456345347347,51.38899912087849,0.00012796414728962244,0.0001731406108968262,7.0,1.0,0.0,0.0,2025-02-04 07:06:00+00:00
1862,buy,0,1.0,17,buy,4.973218572166127e-05,0.0002897528133225616,49.03450993289873,6.505382937766689e-05,0.00016101839812218525,7.0,1.0,0.0,0.0,2025-02-04 07:07:00+00:00
