time,open,high,low,close,label
2025-02-03 11:27:00+00:00,2798.485,2799.005,2798.365,2798.525,0
2025-02-03 11:45:00+00:00,2799.985,2800.075,2799.745,2799.945,0
2025-02-03 13:43:00+00:00,2808.925,2809.295,2808.498,2808.865,0
2025-02-03 13:53:00+00:00,2809.865,2810.565,2809.655,2810.245,0
2025-02-03 16:06:00+00:00,2822.865,2824.735,2822.865,2824.205,0
2025-02-03 16:48:00+00:00,2819.375,2819.515,2817.505,2818.025,1
2025-02-03 17:26:00+00:00,2818.165,2818.875,2818.145,2818.665,0
2025-02-03 17:39:00+00:00,2817.475,2817.485,2816.665,2817.015,0
2025-02-03 17:42:00+00:00,2817.715,2818.645,2817.605,2818.495,1
2025-02-03 17:59:00+00:00,2817.545,2817.545,2815.685,2816.985,0
2025-02-03 18:04:00+00:00,2819.378,2821.095,2819.378,2820.985,0
2025-02-03 18:25:00+00:00,2819.235,2819.235,2817.335,2817.415,0
2025-02-03 18:46:00+00:00,2818.925,2819.585,2818.585,2819.485,0
2025-02-03 19:33:00+00:00,2820.305,2820.515,2819.935,2820.265,0
2025-02-04 08:16:00+00:00,2816.245,2816.375,2815.205,2815.405,1
2025-02-04 08:39:00+00:00,2813.108,2813.545,2812.365,2813.015,0
2025-02-04 08:53:00+00:00,2816.225,2816.415,2815.515,2816.115,0
2025-02-04 09:06:00+00:00,2814.295,2814.865,2814.185,2814.625,0
2025-02-04 09:07:00+00:00,2814.685,2815.355,2814.445,2815.355,1
2025-02-04 10:09:00+00:00,2817.885,2817.995,2817.335,2817.395,0
2025-02-04 11:26:00+00:00,2814.805,2815.665,2814.735,2815.525,0
2025-02-04 12:00:00+00:00,2815.295,2815.395,2814.335,2814.565,0
2025-02-04 12:03:00+00:00,2815.365,2815.875,2815.285,2815.865,0
2025-02-04 12:06:00+00:00,2814.735,2815.165,2814.275,2814.835,0
2025-02-04 12:09:00+00:00,2815.675,2816.115,2815.415,2815.815,1
2025-02-04 13:59:00+00:00,2830.548,2831.965,2830.548,2831.545,1
2025-02-04 14:09:00+00:00,2832.085,2834.415,2832.085,2834.395,0
2025-02-04 15:40:00+00:00,2836.735,2838.255,2835.168,2837.545,1
2025-02-04 16:18:00+00:00,2838.635,2839.765,2838.585,2839.735,1
2025-02-04 17:04:00+00:00,2839.795,2840.555,2839.715,2839.875,0
2025-02-04 17:08:00+00:00,2840.545,2841.185,2840.095,2841.075,0
2025-02-04 18:25:00+00:00,2843.168,2843.535,2842.955,2843.055,0
2025-02-04 18:35:00+00:00,2843.945,2844.375,2843.345,2844.185,0
2025-02-04 18:52:00+00:00,2843.498,2843.608,2842.258,2842.518,0
2025-02-04 19:34:00+00:00,2843.185,2843.395,2842.995,2843.235,0
2025-02-04 19:54:00+00:00,2842.975,2842.975,2842.105,2842.345,0
2025-02-04 20:06:00+00:00,2843.245,2843.915,2843.105,2843.775,0
2025-02-04 20:13:00+00:00,2842.598,2842.698,2842.295,2842.368,0
2025-02-04 20:42:00+00:00,2842.595,2842.665,2842.248,2842.425,0
2025-02-04 21:11:00+00:00,2842.388,2842.388,2841.978,2842.085,0
2025-02-04 21:57:00+00:00,2841.815,2841.945,2841.535,2841.835,1
2025-02-04 21:58:00+00:00,2841.835,2841.835,2841.565,2841.635,0
2025-02-05 09:14:00+00:00,2865.595,2865.675,2865.345,2865.525,0
2025-02-05 09:23:00+00:00,2866.575,2869.075,2866.245,2868.965,0
